Date_CL=F,Close_CL=F,Diff_CL=F
2012-07-02,83.75,-0.014241985611012087
2012-07-03,87.66000366210938,0.04668661089085813
2012-07-05,87.22000122070312,-0.005019420750907888
2012-07-06,84.44999694824219,-0.03175881946449033
2012-07-09,85.98999786376953,0.018235653891985226
2012-07-10,83.91000366210938,-0.024188792340190668
2012-07-11,85.80999755859375,0.022643234579458715
2012-07-12,86.08000183105469,0.0031465363027958215
2012-07-13,87.0999984741211,0.011849403129292613
2012-07-16,88.43000030517578,0.015269826111993012
2012-07-17,89.22000122070312,0.00893363013458126
2012-07-18,89.87000274658203,0.007285379029204453
2012-07-19,92.66000366210938,0.031044851788807337
2012-07-20,91.44000244140625,-0.01316642750362862
2012-07-23,88.13999938964844,-0.03608927125600658
2012-07-24,88.5,0.004084418117137334
2012-07-25,88.97000122070312,0.005310748256532438
2012-07-26,89.38999938964844,0.004720671722859171
2012-07-27,90.12999725341797,0.008278307068153135
2012-07-30,89.77999877929688,-0.003883262895670647
2012-07-31,88.05999755859375,-0.019157955492195344
2012-08-01,88.91000366210938,0.009652579230995828
2012-08-02,87.12999725341797,-0.020020316447810327
2012-08-03,91.4000015258789,0.04900728115532482
2012-08-06,92.19999694824219,0.008752685000084748
2012-08-07,93.66999816894531,0.015943614635132164
2012-08-08,93.3499984741211,-0.0034162453408727034
2012-08-09,93.36000061035156,0.00010714661375432755
2012-08-10,92.87000274658203,-0.005248477512490468
2012-08-13,92.7300033569336,-0.0015074769625070816
2012-08-14,93.43000030517578,0.00754876440096508
2012-08-15,94.33000183105469,0.009632896531512225
2012-08-16,95.5999984741211,0.013463337415607901
2012-08-17,96.01000213623047,0.004288741303906551
2012-08-20,95.97000122070312,-0.0004166327948892379
2012-08-21,96.68000030517578,0.0073981356198993264
2012-08-22,97.26000213623047,0.00599919144832306
2012-08-23,96.2699966430664,-0.010178958167997743
2012-08-24,96.1500015258789,-0.0012464435584473854
2012-08-27,95.47000122070312,-0.007072285953035107
2012-08-28,96.33000183105469,0.009008071638791026
2012-08-29,95.48999786376953,-0.008720065932920518
2012-08-30,94.62000274658203,-0.0091108507346358
2012-08-31,96.47000122070312,0.01955187508370604
2012-09-04,95.30000305175781,-0.01212810359842953
2012-09-05,95.36000061035156,0.0006295651277279379
2012-09-06,95.52999877929688,0.0017826989078988387
