APA
LNG
CHK
CVX
CIVI
COP
CTRA
DVN
ET
EPD
EOG
EQT
ETRN
XOM
DINO
HES
KMI
MMP
MPC
NOG
OXY
OKE
OVV
PBF
PDCE
PSX
PAA
TALO
TRGP
VLO
WMB
